Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
1770	-115497	-115502	4.88666	0.06970218	0.01721958	0.0524826	0.01721958
1780	-115498	-115503	4.87468	0.0714542	0.01814761	0.05330659	0.01814761
1790	-115497	-115502	4.88941	0.06977709	0.01800363	0.05177346	0.01800363
1800	-115497	-115502	4.88715	0.0702854	0.018862	0.0514234	0.018862
1810	-115500	-115505	4.8702	0.07139911	0.01724054	0.05415857	0.01724054
1820	-115497	-115502	4.88444	0.06991006	0.01716459	0.05274547	0.01716459
1830	-115497	-115502	4.88476	0.07055907	0.01877843	0.05178064	0.01877843
1840	-115497	-115502	4.88054	0.06985177	0.0165153	0.05333647	0.0165153
1850	-115498	-115503	4.87681	0.07059792	0.0170084	0.05358952	0.0170084
1860	-115497	-115502	4.8883	0.06972468	0.01759371	0.05213098	0.01759371
1870	-115498	-115503	4.86813	0.06814675	0.01403213	0.05411462	0.01403213
1880	-115497	-115502	4.88278	0.06977183	0.01670907	0.05306275	0.01670907
1890	-115497	-115502	4.88668	0.07016649	0.01819181	0.05197468	0.01819181
1900	-115500	-115505	4.85045	0.06833546	0.01320159	0.05513386	0.01320159
1910	-115497	-115502	4.88591	0.06894608	0.01611315	0.05283293	0.01611315
1920	-115497	-115502	4.88465	0.07044652	0.01832678	0.05211975	0.01832678
1930	-115499	-115504	4.87333	0.07138134	0.01772008	0.05366126	0.01772008
1940	-115497	-115502	4.88151	0.07045083	0.01755199	0.05289884	0.01755199
1950	-115498	-115503	4.87817	0.07133487	0.0207402	0.05059467	0.0207402
1960	-115498	-115503	4.87379	0.07193018	0.01942458	0.0525056	0.01942458
1970	-115497	-115502	4.88748	0.06966093	0.01730402	0.05235691	0.01730402
1980	-115498	-115503	4.87302	0.07191773	0.02110558	0.05081215	0.02110558
1990	-115497	-115502	4.88491	0.07053262	0.0187427	0.05178992	0.0187427
2000	-115497	-115502	4.88258	0.06900937	0.01581354	0.05319583	0.01581354
2010	-115497	-115502	4.8876	0.0696967	0.01739042	0.05230628	0.01739042
2020	-115497	-115502	4.88409	0.06946603	0.01649329	0.05297274	0.01649329
2030	-115497	-115502	4.87994	0.07118747	0.01911472	0.05207275	0.01911472
2040	-115497	-115502	4.88516	0.06960057	0.01681981	0.05278077	0.01681981
2050	-115498	-115503	4.87985	0.06776888	0.01455227	0.05321661	0.01455227
2060	-115497	-115502	4.88741	0.07021871	0.01867923	0.05153948	0.01867923
2070	-115497	-115502	4.87928	0.0693337	0.01580137	0.05353233	0.01580137
2080	-115497	-115502	4.8855	0.07032846	0.01826402	0.05206444	0.01826402
2090	-115498	-115503	4.8848	0.06838966	0.01544787	0.05294179	0.01544787
2100	-115497	-115502	4.88232	0.07019517	0.01725921	0.05293595	0.01725921
2110	-115497	-115502	4.8851	0.0702425	0.01792566	0.05231684	0.01792566
2120	-115497	-115502	4.88389	0.07001589	0.0172394	0.05277649	0.0172394
2130	-115497	-115502	4.88606	0.06928106	0.01652402	0.05275704	0.01652402
2140	-115498	-115503	4.87107	0.0722134	0.02094387	0.05126953	0.02094387
2150	-115500	-115505	4.84808	0.06848762	0.01317096	0.05531666	0.01317096
2160	-115497	-115502	4.89028	0.06936318	0.01733882	0.05202436	0.01733882
2170	-115499	-115504	4.87172	0.06747634	0.01383786	0.05363848	0.01383786
2180	-115498	-115503	4.87239	0.07197021	0.02120485	0.05076536	0.02120485
2190	-115497	-115502	4.88008	0.07089172	0.01815941	0.05273232	0.01815941
2200	-115497	-115502	4.88103	0.07043366	0.01743204	0.05300162	0.01743204
2210	-115498	-115502	4.88715	0.07032261	0.0191763	0.05114631	0.0191763
2220	-115498	-115503	4.87546	0.07110253	0.01760087	0.05350166	0.01760087
2230	-115498	-115503	4.87441	0.07189129	0.01967319	0.05221809	0.01967319
2240	-115497	-115502	4.88977	0.06963215	0.01775745	0.0518747	0.01775745
2250	-115497	-115502	4.8807	0.07114523	0.01991371	0.05123152	0.01991371
2260	-115497	-115502	4.88017	0.06899187	0.01556005	0.05343182	0.01556005
2270	-115499	-115504	4.86419	0.07293818	0.02147746	0.05146073	0.02147746
2280	-115497	-115502	4.88236	0.07094432	0.01957372	0.0513706	0.01957372
2290	-115499	-115504	4.87199	0.07188618	0.0215473	0.05033888	0.0215473
2300	-115498	-115503	4.87907	0.07124147	0.02063568	0.05060579	0.02063568
2310	-115498	-115503	4.89119	0.06976103	0.01877831	0.05098272	0.01877831
2320	-115498	-115502	4.88924	0.07000396	0.01874058	0.05126338	0.01874058
2330	-115497	-115502	4.89041	0.06915275	0.01701445	0.0521383	0.01701445
2340	-115497	-115502	4.88701	0.07033144	0.01907706	0.05125438	0.01907706
2350	-115497	-115502	4.8876	0.069987	0.01799928	0.05198772	0.01799928
2360	-115500	-115505	4.87041	0.07192263	0.01823586	0.05368677	0.01823586
2370	-115497	-115502	4.88724	0.06990593	0.0177172	0.05218873	0.0177172
2380	-115500	-115505	4.87004	0.07088205	0.01651754	0.05436451	0.01651754
2390	-115497	-115502	4.88096	0.0704914	0.01752151	0.05296989	0.01752151
2400	-115497	-115502	4.88817	0.06869064	0.0161005	0.05259013	0.0161005
2410	-115497	-115502	4.8847	0.06932584	0.01640121	0.05292463	0.01640121
2420	-115498	-115503	4.88424	0.0706665	0.02004506	0.05062144	0.02004506
2430	-115502	-115507	4.85608	0.066062	0.01238331	0.05367868	0.01238331
2440	-115498	-115503	4.86897	0.06904533	0.01470064	0.05434469	0.01470064
2450	-115497	-115502	4.88678	0.07032548	0.0188331	0.05149238	0.0188331
2460	-115497	-115502	4.88007	0.06922713	0.01577474	0.05345239	0.01577474
2470	-115497	-115502	4.87787	0.06915803	0.01549992	0.05365811	0.01549992
2480	-115497	-115502	4.88489	0.06919742	0.01627391	0.05292351	0.01627391
2490	-115498	-115503	4.8739	0.07196773	0.02007862	0.05188911	0.02007862
2500	-115497	-115502	4.88953	0.06983174	0.01819866	0.05163308	0.01819866
2510	-115497	-115502	4.8814	0.07096754	0.01885931	0.05210824	0.01885931
2520	-115497	-115502	4.88878	0.06885433	0.01636421	0.05249012	0.01636421
2530	-115497	-115502	4.89001	0.06941939	0.0173844	0.05203498	0.0173844
2540	-115497	-115502	4.88707	0.07007768	0.01807441	0.05200327	0.01807441
2550	-115498	-115503	4.88381	0.07073804	0.01996123	0.05077682	0.01996123
2560	-115497	-115502	4.88083	0.0710518	0.01894534	0.05210646	0.01894534
2570	-115497	-115502	4.88483	0.06968452	0.01688774	0.05279678	0.01688774
2580	-115498	-115503	4.87312	0.07204692	0.02037408	0.05167284	0.02037408
2590	-115498	-115503	4.87121	0.07223566	0.02073837	0.05149729	0.02073837
2600	-115498	-115502	4.87735	0.06924647	0.01553437	0.0537121	0.01553437
2610	-115498	-115503	4.87492	0.07175329	0.01913665	0.05261664	0.01913665
2620	-115497	-115502	4.8831	0.06896933	0.01582783	0.0531415	0.01582783
2630	-115497	-115502	4.88377	0.07069263	0.01886103	0.05183161	0.01886103
2640	-115497	-115502	4.88713	0.06974115	0.01737597	0.05236517	0.01737597
2650	-115498	-115503	4.86893	0.07249276	0.02086106	0.05163169	0.02086106
2660	-115497	-115502	4.88613	0.07019879	0.0181069	0.05209189	0.0181069
2670	-115497	-115502	4.88091	0.07021457	0.01705986	0.05315471	0.01705986
2680	-115498	-115502	4.87747	0.06869029	0.01506409	0.0536262	0.01506409
2690	-115497	-115502	4.88596	0.06959049	0.01692904	0.05266145	0.01692904
2700	-115499	-115504	4.87069	0.06747942	0.01377936	0.05370006	0.01377936
2710	-115498	-115503	4.86979	0.07239948	0.02079399	0.05160549	0.02079399
2720	-115497	-115502	4.88316	0.06989309	0.01693273	0.05296036	0.01693273
2730	-115499	-115504	4.8907	0.06780498	0.01549961	0.05230537	0.01549961
2740	-115497	-115502	4.88549	0.06942748	0.01663395	0.05279353	0.01663395
2750	-115497	-115502	4.88667	0.06872911	0.01596807	0.05276104	0.01596807
